Part_Label,FeatureNum:5.0,FS_Method:infgain,FeatureNum:6.0,Scaler:standard,Norm_Order:first,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Split_Ratio:0.2,Norm_Order:last
FeatureNum:5.0,,0.9942463218889065,,0.9938423712812158,0.999290970774707,0.9993117668710094,0.9993117668710094,0.9993117668710094,0.9993117668710094,0.9993315264753017
FS_Method:infgain,0.9942463218889065,,0.9953473229181005,0.9787734428781898,0.9971271357335149,0.9970583646195105,0.9970583646195105,0.9970583646195105,0.9970583646195105,0.9969886013847219
FeatureNum:6.0,,0.9953473229181005,,0.9934275339245051,0.9997251364690101,0.999746374696595,0.999746374696595,0.999746374696595,0.999746374696595,0.999766575778037
Scaler:standard,0.9938423712812158,0.9787734428781898,0.9934275339245051,,0.9913762868713777,0.9914911900336839,0.9914911900336839,0.9914911900336839,0.9914911900336839,0.99160502055143
Norm_Order:first,0.999290970774707,0.9971271357335149,0.9997251364690101,0.9913762868713777,,0.9999994859207909,0.9999994859207909,0.9999994859207909,0.9999994859207909,
AugName:noAug,0.9993117668710094,0.9970583646195105,0.999746374696595,0.9914911900336839,0.9999994859207909,,1.0,1.0,1.0,0.9999994864034443
ImblName:noImbl,0.9993117668710094,0.9970583646195105,0.999746374696595,0.9914911900336839,0.9999994859207909,1.0,,1.0,1.0,0.9999994864034443
Prob_Threshold:0.5,0.9993117668710094,0.9970583646195105,0.999746374696595,0.9914911900336839,0.9999994859207909,1.0,1.0,,1.0,0.9999994864034443
Split_Ratio:0.2,0.9993117668710094,0.9970583646195105,0.999746374696595,0.9914911900336839,0.9999994859207909,1.0,1.0,1.0,,0.9999994864034443
Norm_Order:last,0.9993315264753017,0.9969886013847219,0.999766575778037,0.99160502055143,,0.9999994864034443,0.9999994864034443,0.9999994864034443,0.9999994864034443,
