Part_Label,Model:sklearn_SVM,AugName:mixup,AugName:noAug,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Split_Ratio:0.1,Model:XGBmodel,Norm_Order:first
Model:sklearn_SVM,,0.937313167462254,0.961647810316016,,0.8543232681907466,0.7828274104329463,0.8884437366669147,0.9940358148618326,,0.9975985135371515
AugName:mixup,0.937313167462254,,,0.858145268438855,0.9233802670525941,0.8493055289533215,0.9498164227676003,0.923308020093064,0.9164725154577515,0.9510141122022367
AugName:noAug,0.961647810316016,,,0.920142272895933,0.8570264420411531,0.76471628400063,0.8950417407786162,0.9636419366266686,0.9614341910803039,0.9769554510382602
Model:LogisticRegression,,0.858145268438855,0.920142272895933,,0.7127762851000056,0.6222718084051845,0.7601731876533758,0.9889313422875532,,0.9724810999756205
ImblName:TomekLinks,0.8543232681907466,0.9233802670525941,0.8570264420411531,0.7127762851000056,,,0.9968491067747887,0.8006078065262338,0.7825944718009628,0.8489722686306651
ImblName:noImbl,0.7828274104329463,0.8493055289533215,0.76471628400063,0.6222718084051845,,,0.9715624641951441,0.7148640440103644,0.6928936359352278,0.7693878329494281
Prob_Threshold:0.5,0.8884437366669147,0.9498164227676003,0.8950417407786162,0.7601731876533758,0.9968491067747887,0.9715624641951441,,0.8421720162340356,0.8261694021149607,0.8857894451758793
Split_Ratio:0.1,0.9940358148618326,0.923308020093064,0.9636419366266686,0.9889313422875532,0.8006078065262338,0.7148640440103644,0.8421720162340356,,0.9993136590050915,0.9960571918549591
Model:XGBmodel,,0.9164725154577515,0.9614341910803039,,0.7825944718009628,0.6928936359352278,0.8261694021149607,0.9993136590050915,,0.993035124921781
Norm_Order:first,0.9975985135371515,0.9510141122022367,0.9769554510382602,0.9724810999756205,0.8489722686306651,0.7693878329494281,0.8857894451758793,0.9960571918549591,0.993035124921781,
