Part_Label,Split_Ratio:0.1,Scaler:standard,Model:random_forest,FeatureNum:5.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,ImblName:ADASYN,Norm_Order:last,Model:XGBmodel,FeatureNum:6.0
Split_Ratio:0.1,,0.9999159496904606,0.9943163463623884,0.9998614884214448,0.9998489320634759,0.9999308822700808,0.9758862507226522,0.999733397096775,0.9993136590050915,0.9989728036374638
Scaler:standard,0.9999159496904606,,0.995051251154654,0.9996028725516262,0.9995855422355003,0.9997160650826349,0.9773351476527984,0.9998807193753008,0.9993758178159706,0.9986647079500335
Model:random_forest,0.9943163463623884,0.995051251154654,,0.9940544909319561,0.993024227564572,0.9934168283463835,0.9928818037323986,0.9963369271568381,,0.9887211775177918
FeatureNum:5.0,0.9998614884214448,0.9996028725516262,0.9940544909319561,,0.9999192362471528,0.9999364616283677,0.9754012385323909,0.9994421613210204,0.9993653463245407,
FS_Method:biMaxInfgain,0.9998489320634759,0.9995855422355003,0.993024227564572,0.9999192362471528,,,0.9730337738243852,0.9992370004315809,0.9990462181382831,0.9992909411074203
FS_Method:biMeanInfgain,0.9999308822700808,0.9997160650826349,0.9934168283463835,0.9999364616283677,,,0.9739449818708042,0.9994230269800397,0.9991350015619591,0.9992268696152287
ImblName:ADASYN,0.9758862507226522,0.9773351476527984,0.9928818037323986,0.9754012385323909,0.9730337738243852,0.9739449818708042,,0.9804078290108651,0.9815065536207301,0.9651631956145214
Norm_Order:last,0.999733397096775,0.9998807193753008,0.9963369271568381,0.9994421613210204,0.9992370004315809,0.9994230269800397,0.9804078290108651,,0.9996064314931117,0.9977914816843623
Model:XGBmodel,0.9993136590050915,0.9993758178159706,,0.9993653463245407,0.9990462181382831,0.9991350015619591,0.9815065536207301,0.9996064314931117,,0.9969214735163427
FeatureNum:6.0,0.9989728036374638,0.9986647079500335,0.9887211775177918,,0.9992909411074203,0.9992268696152287,0.9651631956145214,0.9977914816843623,0.9969214735163427,
