Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:ADASYN,Prob_Threshold:0.35,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,FeatureNum:5.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Scaler:minmax,Split_Ratio:0.2,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression
AugName:gaussian_noise,,0.5450651742561098,0.9817556499330236,0.9811499397251844,0.9685847990901074,0.9698571256057891,0.9613381553368145,0.9604797974454766,0.966386717380077,0.9692776708708953,0.9776187724126515,0.9737422953128572,0.9528664833820777,0.9753368093261866,0.9726021261437277,0.969161829016744,0.9706552739999332,0.969161829016744,0.9768852339811785,0.9567453708436685,0.9606968392777723,0.9713983869427015,0.9727122622461174,0.9821175440860337,0.6956299096466034,0.6183481343430648,0.7390091760875945,,,0.9617459225528995,0.9917904620140515
Model:DTmodel,0.5450651742561098,,0.5298825796877406,0.5380494751494461,0.7085319047028884,0.7054432350044417,0.7428791010834036,0.7379005829443094,0.7270297885202859,0.7020569062490906,,,0.7588543148688308,0.6914753035293743,0.6982196300466225,0.7149667430196625,0.7088650429058478,0.7149667430196625,0.6815785113181021,0.7469238790307768,0.7393640902303722,0.5630167463239875,0.6084662053848934,,0.967760059158629,0.9498239762805725,0.9616760724478074,0.903136971348398,0.8181494860577018,,
ImblName:ADASYN,0.9817556499330236,0.5298825796877406,,0.9999347615492636,0.9730337738243857,0.9739449818708058,0.9587361012965107,0.9621963425504655,0.9651631956145214,0.9754012385323911,0.9863390094367165,0.9815065536207301,0.9530121853697456,0.9773351476527988,0.9758862507226531,0.9700616364915631,0.9721375212809503,0.9700616364915631,0.9804078290108651,0.9586554100838399,0.9612552208635639,,,0.9928818037323992,,,0.7041847413264732,0.8311180708218697,0.9063641988105674,0.9492966452925667,0.9944660541190008
Prob_Threshold:0.35,0.9811499397251844,0.5380494751494461,0.9999347615492636,,0.9749737984762376,0.9758443450267148,0.9610736889194134,0.9645512582402607,0.9672589235659091,0.9773030919549764,0.9876483223095787,0.9830596818379381,0.9556260971723385,0.9789824205517036,0.9776734817504054,0.9720370239595358,0.9740213233588417,0.9720370239595358,0.981961797326088,0.9611399480663053,0.9635787559814685,0.9984397788448969,0.9957597690261496,0.9937036905354577,0.6568828675506853,0.5542193503129135,,0.8367180204788534,0.9107484638344773,0.9516008987877187,0.9949039301747026
FS_Method:biMaxInfgain,0.9685847990901074,0.7085319047028884,0.9730337738243857,0.9749737984762376,,,,0.999001791979232,0.9992909411074203,0.9999192362471522,0.9976170634260983,0.9990462181382831,0.9971589576994625,0.9995855422355002,0.9998489320634761,,0.9998774322715424,0.9997905656909007,0.9992370004315809,0.9983822188134553,0.9988860829044586,0.9782394280591264,0.9885282559618579,0.993024227564572,0.8075649525662596,0.7216903987093635,0.8487364262228884,0.9295579195838689,0.9678648017437981,0.9944249540354123,0.9863575675390596
FS_Method:biMeanInfgain,0.9698571256057891,0.7054432350044417,0.9739449818708058,0.9758443450267148,,,,0.9988505987855781,0.9992268696152287,0.9999364616283662,0.9978318918452979,0.9991350015619591,0.9968605182321172,0.9997160650826336,0.99993088227008,,0.9998996508629804,0.9997922179862119,0.9994230269800397,0.998158329189555,0.9987197313506349,0.9788797287704182,0.9889302011722048,0.9934168283463825,0.8054370912012077,0.7196040105395786,0.8467389983486714,0.9276632666560832,0.966604680678195,0.9943562694116407,0.987227322874322
FS_Method:infgain,0.9613381553368145,0.7428791010834036,0.9587361012965107,0.9610736889194134,,,,0.9997326659563964,0.9996793185722215,0.9974918456023885,0.9919572494598901,0.9947529041418542,0.999541472819428,0.997105438253571,0.9976335569455739,,0.9986049165328059,0.9990554263914436,0.9959147844064539,0.9996793781703229,0.9998356979174015,0.9646764647771788,0.9780263163566557,0.9847294094764208,0.8395017282471682,0.7605725813205261,0.8767945589266154,0.94146364118985,0.9705481261659487,0.9985781639476152,0.9780267295015105
FeatureNum:4.0,0.9604797974454766,0.7379005829443094,0.9621963425504655,0.9645512582402607,0.999001791979232,0.9988505987855781,0.9997326659563964,,,,0.9935561963525891,0.9961110241012368,0.9994732026057918,0.9977245858325143,0.9983565556363627,0.99938829859794,,,0.9967758766258686,0.9999027418922829,0.9999571046288435,0.9688819157199522,0.981461632159832,0.9867942069599956,0.8318483100871541,0.7496956825519637,0.8705482009440023,0.9421818472192325,0.9734742834374693,0.9971064677981147,0.9793726236297423
FeatureNum:6.0,0.966386717380077,0.7270297885202859,0.9651631956145214,0.9672589235659091,0.9992909411074203,0.9992268696152287,0.9996793185722215,,,,0.9947362300310914,0.9969214735163435,0.998783269785694,0.9986647079500335,0.9989728036374642,0.9997998520479009,,,0.9977914816843618,0.9993449483825357,0.9997677318910457,0.9702224425479469,0.9823612252336712,0.988721177517792,0.82673174163038,0.745791835650099,0.8653566625735809,0.9349328538549547,0.9678385101810595,0.9976349641259912,0.9823130398684883
FeatureNum:5.0,0.9692776708708953,0.7020569062490906,0.9754012385323911,0.9773030919549764,0.9999192362471522,0.9999364616283662,0.9974918456023885,,,,0.9982089105774845,0.9993653463245407,0.9963265068771819,0.9996028725516264,0.9998614884214456,0.9995149448488644,,,0.9994421613210204,0.9977843899942807,0.9983041653066822,0.980652334746986,0.9902621736362154,0.9940544909319566,0.8008763524319056,0.7135126805182405,0.8428811012447618,0.9272028217891577,0.967349532011689,0.9931945192544955,0.9876556891680843
Model:GradientBoosting,0.9776187724126515,,0.9863390094367165,0.9876483223095787,0.9976170634260983,0.9978318918452979,0.9919572494598901,0.9935561963525891,0.9947362300310914,0.9982089105774845,,,0.9896031463185627,0.9985710022792699,0.9982826661901124,0.9965055662227256,0.9972382943598859,0.9965055662227256,0.9991934087852435,0.9920982354353594,0.9932757363475475,0.9892823630265085,0.9958229482306,,0.765915490249178,0.6745210844850936,0.8108735867942625,0.905892962045946,0.9552054645240046,,
Model:XGBmodel,0.9737422953128572,,0.9815065536207301,0.9830596818379381,0.9990462181382831,0.9991350015619591,0.9947529041418542,0.9961110241012368,0.9969214735163435,0.9993653463245407,,,0.993035124921781,0.99937581781597,0.9993136590050913,0.9981907600056449,0.9987005573476672,0.9981907600056449,0.9996064314931105,0.995017971671195,0.9959204139158344,0.9854791803502811,0.9935661671677906,,0.7825944718009614,0.6928936359352273,0.8261694021149587,0.9164725154577513,0.9614341910803038,,
Norm_Order:first,0.9528664833820777,0.7588543148688308,0.9530121853697456,0.9556260971723385,0.9971589576994625,0.9968605182321172,0.999541472819428,0.9994732026057918,0.998783269785694,0.9963265068771819,0.9896031463185627,0.993035124921781,,0.99518957084608,0.9960571918549578,0.9978771871161848,0.9972779166114386,0.9978771871161848,,0.999803625269511,0.9995647369008299,0.9607392880820852,0.975156739793227,0.9813551953160333,0.8489722686306633,0.7693878329494279,0.885789445175877,0.951014112202236,0.9769554510382594,0.9975985135371503,0.9724810999756182
Scaler:standard,0.9753368093261866,0.6914753035293743,0.9773351476527988,0.9789824205517036,0.9995855422355002,0.9997160650826336,0.997105438253571,0.9977245858325143,0.9986647079500335,0.9996028725516264,0.9985710022792699,0.99937581781597,0.99518957084608,,0.999915949690461,0.9994444133411913,0.9997032975588328,0.9994444133411913,0.9998807193753008,,0.9976444884091025,0.9807642689849719,0.9900102296675579,0.995051251154654,0.79676308240954,0.7114758473744613,0.8383826191938171,0.9188986754996816,0.9602905095752937,0.9937401191418721,0.9902105350363375
Split_Ratio:0.1,0.9726021261437277,0.6982196300466225,0.9758862507226531,0.9776734817504054,0.9998489320634761,0.99993088227008,0.9976335569455739,0.9983565556363627,0.9989728036374642,0.9998614884214456,0.9982826661901124,0.9993136590050913,0.9960571918549578,0.999915949690461,,0.9996727006850435,0.9998496087219285,0.9996727006850435,0.999733397096775,0.9975075280630457,,0.9801491527563654,0.9897139573556188,0.9943163463623884,0.8006078065262332,0.7148640440103652,0.8421720162340343,0.923308020093064,0.9636419366266684,0.9940358148618329,0.9889313422875524
FS_Method:noSelect,0.969161829016744,0.7149667430196625,0.9700616364915631,0.9720370239595358,,,,0.99938829859794,0.9997998520479009,0.9995149448488644,0.9965055662227256,0.9981907600056449,0.9978771871161848,0.9994444133411913,0.9996727006850435,,0.9999517808895205,1.0,0.9988788763136787,0.9988326666662298,0.9993629568660443,0.9748522505946005,0.9858566802451243,0.991353270095752,0.8155546588450796,0.7324127867357892,0.8555053884600443,0.930326233511472,0.9664763146373914,0.9962910243053626,0.9854327587362404
FeatureNum:7.0,0.9706552739999332,0.7088650429058478,0.9721375212809503,0.9740213233588417,0.9998774322715424,0.9998996508629804,0.9986049165328059,,,,0.9972382943598859,0.9987005573476672,0.9972779166114386,0.9997032975588328,0.9998496087219285,0.9999517808895205,,,0.9992539965975901,0.9983883610515039,0.9990176436400978,0.97661118303192,0.9871700063391011,0.9925449094192232,0.8105454950240951,0.7266388775474149,0.8509862853690009,0.9276856272212809,0.9652422416524858,0.9955959024416219,0.9866609474734648
