Part_Label,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Scaler:standard,Model:random_forest,Prob_Threshold:0.35,AugName:noAug,FS_Method:biMaxInfgain,FeatureNum:7.0,ImblName:noImbl,Model:GradientBoosting,Norm_Order:first,Norm_Order:last,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,Scaler:minmax,Prob_Threshold:0.5,Split_Ratio:0.2,Model:DTmodel
AugName:noAug,0.9963402799565084,0.9217089021830368,0.9628386735817274,0.9808064690190355,0.9912557642354031,0.9985857310546752,0.9912557642354031,0.9985354296235143,0.9513910069562922,0.8664711773274275,,0.9979646596119971,0.9998540299978512,1.0,0.9808593747565059,0.9999996724893079,0.9999996720894103,0.9993851364391204,0.9987864274886882,0.9991054139837412,0.998731912063757,0.9019751514227632,0.9864418101633218,0.9528563000409422
FS_Method:biMaxInfgain,0.9997504493447851,0.9128014317649499,0.9457927657951953,0.9789419944249297,,0.9988504617550391,0.9816976400700419,0.9999361838771537,0.9408550521910437,0.8653497294221353,0.9979646596119971,,0.9971896538437592,0.9979646596119955,0.9828060225776774,0.997914027940031,0.9980146678989057,,0.9972059078755401,0.998815678917532,0.9935044598706475,0.8995839506870587,0.9843231332338368,0.9680160629585168
FeatureNum:7.0,0.9954088915287668,0.9174879187683783,0.9668188511176276,0.9833458050332898,0.9930752097432053,,,0.9978887168493682,0.9564112077816601,0.873163791830388,0.9998540299978512,0.9971896538437592,,0.999854029997851,0.9826574868893456,0.9998627575816523,0.999844641561931,0.9993573179404737,,,0.9990522935714582,0.8959455686017342,0.984040043782144,0.9481752688199532
ImblName:noImbl,0.9963402799565084,0.9217089021830368,0.9628386735817274,0.9808064690190355,0.9912557642354031,0.9985857310546752,0.9912557642354031,0.9985354296235143,0.9513910069562922,0.8664711773274275,1.0,0.9979646596119955,0.999854029997851,,0.9808593747565059,0.9999996724893079,0.9999996720894103,0.9993851364391204,0.9987864274886882,0.9991054139837412,0.998731912063757,0.9019751514227632,0.9864418101633218,0.9528563000409422
Model:GradientBoosting,,,,0.9981433752774036,0.9757446337376665,0.9889012039841173,0.9757446337376665,0.9830278536008531,,0.9426348866340762,0.9808593747565059,0.9828060225776774,0.9826574868893456,0.9808593747565059,,0.9808307852216713,0.9808873386680411,0.9756181940201042,0.9711941066212657,0.975935935668355,0.9762609015355741,0.8044914043397968,0.9371679698357367,
Norm_Order:first,0.9962724507188423,0.9217582208929807,0.9630402198916661,0.980825349941165,0.9913558539848705,0.9985609270396383,0.9913558539848705,0.9984920881149952,0.9515275667225851,0.8665165083110192,0.9999996724893079,0.997914027940031,0.9998627575816523,0.9999996724893079,0.9808307852216713,,,0.9994082360214069,0.9987742255655184,0.9990812927977822,0.9987716122006937,0.9019354032217479,0.9864253252791949,0.9526257187979811
Norm_Order:last,0.9964074973701775,0.9216589490808571,0.9626363730059083,0.9807869335359489,0.9911549635105392,0.998609895514242,0.9911549635105392,0.9985781429234111,0.9512537400922698,0.8664252506004184,0.9999996720894103,0.9980146678989057,0.999844641561931,0.9999996720894103,0.9808873386680411,,,0.9993613675405582,0.9987979820334493,0.9991288948567637,0.9986915329071026,0.9020143325290364,0.9864576583764251,0.9530863973003031
FS_Method:infgain,0.9929612305146583,0.9299844499923309,0.9679161320342322,0.9773315793689935,,0.9962617562922969,0.993574425612479,0.9961869665949162,0.9511187488181084,0.8584328602707165,0.9993851364391204,,0.9993573179404737,0.9993851364391204,0.9756181940201042,0.9994082360214069,0.9993613675405582,,0.9986503883895917,0.9980558301837574,0.9997318716064556,0.907912211262349,0.9882524055659104,0.9457572822234003
FeatureNum:4.0,0.9956030667793535,0.9375449991288791,0.9536678897239061,0.9702557542827512,0.9863640351950763,,,0.997667695471722,0.9359193478009534,0.8414839525601784,0.9987864274886882,0.9972059078755401,,0.9987864274886882,0.9711941066212657,0.9987742255655184,0.9987979820334493,0.9986503883895917,,,0.9971997116259987,0.9215828332473608,0.9931230610313586,0.9605196536384117
FeatureNum:6.0,0.9976361899597631,0.92962211955134,0.9515184871907539,0.9738838072415293,0.9853640781669553,,,0.9990235824900066,0.9382379773837857,0.8503588168598621,0.9991054139837412,0.998815678917532,,0.9991054139837412,0.975935935668355,0.9990812927977822,0.9991288948567637,0.9980558301837574,,,0.9965529684437098,0.914433622374233,0.9906474374047651,0.9634992217779984
Scaler:minmax,0.9907777716309041,0.9267025221625098,0.9733191679829679,0.9791638454571455,0.9958649727339979,0.9954479278456876,0.9958649727339979,,0.9565504995912257,0.864115346937714,0.998731912063757,0.9935044598706475,0.9990522935714582,0.998731912063757,0.9762609015355741,0.9987716122006937,0.9986915329071026,0.9997318716064556,0.9971997116259987,0.9965529684437098,,0.9019186225386856,0.9855266348986678,0.9383037949624753
Prob_Threshold:0.5,0.8964185275436979,0.9926881688957013,0.8144295241151571,0.8004773104611952,0.8699852057695495,0.8835225202008913,0.8699852057695495,0.8994857482281541,0.7397976533140881,,0.9019751514227632,0.8995839506870587,0.8959455686017342,0.9019751514227632,0.8044914043397968,0.9019354032217479,0.9020143325290364,0.907912211262349,0.9215828332473608,0.914433622374233,0.9019186225386856,,0.9606023740595899,0.9173891328933408
Split_Ratio:0.2,0.9821082148313621,0.970372970662535,0.9288764483921813,,0.9684696847500569,0.9785730873227223,0.9684696847500569,0.9846363221470581,0.8932994501639248,0.7728002618588751,0.9864418101633218,0.9843231332338368,0.984040043782144,0.9864418101633218,0.9371679698357367,0.9864253252791949,0.9864576583764251,0.9882524055659104,0.9931230610313586,0.9906474374047651,0.9855266348986678,0.9606023740595899,,0.9623705878557821
Model:DTmodel,,,,0.9079142156397371,0.904527737418902,0.9557589122502802,0.904527737418902,0.9658008563134881,,0.7586372434422816,0.9528563000409422,0.9680160629585168,0.9481752688199532,0.9528563000409422,,0.9526257187979811,0.9530863973003031,0.9457572822234003,0.9605196536384117,0.9634992217779984,0.9383037949624753,0.9173891328933408,0.9623705878557821,
