Part_Label,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Scaler:standard,Model:random_forest,Prob_Threshold:0.35,AugName:noAug,FS_Method:biMaxInfgain,FeatureNum:7.0,ImblName:noImbl,Model:GradientBoosting,Norm_Order:first,Norm_Order:last,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,Scaler:minmax,Prob_Threshold:0.5,Split_Ratio:0.2,Model:DTmodel
Model:XGBmodel,,,,0.9780765889378963,0.9777192712545282,0.9981472443714899,0.9777192712545282,0.9995009710509691,,0.8659080828948127,0.9963402799565084,0.9997504493447851,0.9954088915287668,0.9963402799565084,,0.9962724507188423,0.9964074973701775,0.9929612305146583,0.9956030667793535,0.9976361899597631,0.9907777716309041,0.8964185275436979,0.9821082148313621,
Model:sklearn_SVM,,,,0.8313518208527448,0.9051644618390098,0.9018926153129446,0.9051644618390098,0.913736662740476,,0.6121071504255222,0.9217089021830368,0.9128014317649499,0.9174879187683783,0.9217089021830368,,0.9217582208929807,0.9216589490808571,0.9299844499923309,0.9375449991288791,0.92962211955134,0.9267025221625098,0.9926881688957013,0.970372970662535,
Model:LogisticRegression,,,,0.9691994292379479,0.9900186325917119,0.9580144697777762,0.9900186325917119,0.9488537864785134,,0.8967372508317341,0.9628386735817274,0.9457927657951953,0.9668188511176276,0.9628386735817274,,0.9630402198916661,0.9626363730059083,0.9679161320342322,0.9536678897239061,0.9515184871907539,0.9733191679829679,0.8144295241151571,0.9288764483921813,
Split_Ratio:0.1,0.9780765889378963,0.8313518208527448,0.9691994292379479,,0.9833347490808715,0.9871107817187468,0.9833347490808715,0.9797986517776147,0.9868243914581862,0.9471749110253969,0.9808064690190355,0.9789419944249297,0.9833458050332898,0.9808064690190355,0.9981433752774036,0.980825349941165,0.9807869335359489,0.9773315793689935,0.9702557542827512,0.9738838072415293,0.9791638454571455,0.8004773104611952,,0.9079142156397371
FS_Method:noSelect,0.9777192712545282,0.9051644618390098,0.9900186325917119,0.9833347490808715,,0.9878578148540845,1.0,0.9834999954523208,0.9751713662766276,0.8867619370199746,0.9912557642354031,,0.9930752097432053,0.9912557642354031,0.9757446337376665,0.9913558539848705,0.9911549635105392,,0.9863640351950763,0.9853640781669553,0.9958649727339979,0.8699852057695495,0.9684696847500569,0.904527737418902
FeatureNum:5.0,0.9981472443714899,0.9018926153129446,0.9580144697777762,0.9871107817187468,0.9878578148540845,,,0.9991344119577721,0.9559919723604763,0.8851055532563771,0.9985857310546752,0.9988504617550391,,0.9985857310546752,0.9889012039841173,0.9985609270396383,0.998609895514242,0.9962617562922969,,,0.9954479278456876,0.8835225202008913,0.9785730873227223,0.9557589122502802
FeatureNum:8.0,0.9777192712545282,0.9051644618390098,0.9900186325917119,0.9833347490808715,1.0,,,0.9834999954523208,0.9751713662766276,0.8867619370199746,0.9912557642354031,0.9816976400700419,,0.9912557642354031,0.9757446337376665,0.9913558539848705,0.9911549635105392,0.993574425612479,,,0.9958649727339979,0.8699852057695495,0.9684696847500569,0.904527737418902
Scaler:standard,0.9995009710509691,0.913736662740476,0.9488537864785134,0.9797986517776147,0.9834999954523208,0.9991344119577721,0.9834999954523208,,0.9431565956291488,0.8665530534946143,0.9985354296235143,0.9999361838771537,0.9978887168493682,0.9985354296235143,0.9830278536008531,0.9984920881149952,0.9985781429234111,0.9961869665949162,0.997667695471722,0.9990235824900066,,0.8994857482281541,0.9846363221470581,0.9658008563134881
Model:random_forest,,,,0.9868243914581862,0.9751713662766276,0.9559919723604763,0.9751713662766276,0.9431565956291488,,0.9611682801552124,0.9513910069562922,0.9408550521910437,0.9564112077816601,0.9513910069562922,,0.9515275667225851,0.9512537400922698,0.9511187488181084,0.9359193478009534,0.9382379773837857,0.9565504995912257,0.7397976533140881,0.8932994501639248,
Prob_Threshold:0.35,0.8659080828948127,0.6121071504255222,0.8967372508317341,0.9471749110253969,0.8867619370199746,0.8851055532563771,0.8867619370199746,0.8665530534946143,0.9611682801552124,,0.8664711773274275,0.8653497294221353,0.873163791830388,0.8664711773274275,0.9426348866340762,0.8665165083110192,0.8664252506004184,0.8584328602707165,0.8414839525601784,0.8503588168598621,0.864115346937714,,0.7728002618588751,0.7586372434422816
