Part_Label,Split_Ratio:0.1,FeatureNum:6.0,FeatureNum:7.0,FS_Method:biMaxInfgain,Scaler:standard,FS_Method:noSelect,FeatureNum:8.0,Prob_Threshold:0.35,Norm_Order:first,Norm_Order:last
Split_Ratio:0.1,,0.9738838072415293,0.9833458050332898,0.9789419944249297,0.9797986517776147,0.9833347490808715,0.9833347490808715,0.9471749110253969,0.980825349941165,0.9807869335359489
FeatureNum:6.0,0.9738838072415293,,,0.9988156789175305,0.9990235824900028,0.9853640781669558,,0.8503588168598597,0.9990812927977817,0.9991288948567624
FeatureNum:7.0,0.9833458050332898,,,0.9971896538437599,0.9978887168493672,0.993075209743209,,0.8731637918303881,0.9998627575816523,0.999844641561931
FS_Method:biMaxInfgain,0.9789419944249297,0.9988156789175305,0.9971896538437599,,0.9999361838771516,,0.9816976400700447,0.8653497294221357,0.997914027940031,0.9980146678989057
Scaler:standard,0.9797986517776147,0.9990235824900028,0.9978887168493672,0.9999361838771516,,0.9834999954523251,0.9834999954523251,0.8665530534946143,0.9984920881149952,0.9985781429234111
FS_Method:noSelect,0.9833347490808715,0.9853640781669558,0.993075209743209,,0.9834999954523251,,1.0,0.8867619370199746,0.9913558539848705,0.9911549635105392
FeatureNum:8.0,0.9833347490808715,,,0.9816976400700447,0.9834999954523251,1.0,,0.8867619370199746,0.9913558539848705,0.9911549635105392
Prob_Threshold:0.35,0.9471749110253969,0.8503588168598597,0.8731637918303881,0.8653497294221357,0.8665530534946143,0.8867619370199746,0.8867619370199746,,0.8665165083110192,0.8664252506004184
Norm_Order:first,0.980825349941165,0.9990812927977817,0.9998627575816523,0.997914027940031,0.9984920881149952,0.9913558539848705,0.9913558539848705,0.8665165083110192,,
Norm_Order:last,0.9807869335359489,0.9991288948567624,0.999844641561931,0.9980146678989057,0.9985781429234111,0.9911549635105392,0.9911549635105392,0.8664252506004184,,
