Part_Label,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:5.0,Scaler:standard,Model:random_forest,FS_Method:biMaxInfgain
Model:LogisticRegression,,,,0.9691994292379479,0.9900186325917119,0.9900186325917119,0.9580144697777762,0.9488537864785134,,0.9457927657951953
Model:XGBmodel,,,,0.9780765889378963,0.9777192712545282,0.9777192712545282,0.9981472443714899,0.9995009710509691,,0.9997504493447851
Model:sklearn_SVM,,,,0.8313518208527448,0.9051644618390098,0.9051644618390098,0.9018926153129446,0.913736662740476,,0.9128014317649499
Split_Ratio:0.1,0.9691994292379479,0.9780765889378963,0.8313518208527448,,0.9833347490808715,0.9833347490808715,0.9871107817187468,0.9797986517776147,0.9868243914581862,0.9789419944249297
FS_Method:noSelect,0.9900186325917119,0.9777192712545282,0.9051644618390098,0.9833347490808715,,1.0,0.9878578148540845,0.9834999954523208,0.9751713662766276,
FeatureNum:8.0,0.9900186325917119,0.9777192712545282,0.9051644618390098,0.9833347490808715,1.0,,,0.9834999954523208,0.9751713662766276,0.9816976400700419
FeatureNum:5.0,0.9580144697777762,0.9981472443714899,0.9018926153129446,0.9871107817187468,0.9878578148540845,,,0.9991344119577721,0.9559919723604763,0.9988504617550391
Scaler:standard,0.9488537864785134,0.9995009710509691,0.913736662740476,0.9797986517776147,0.9834999954523208,0.9834999954523208,0.9991344119577721,,0.9431565956291488,0.9999361838771537
Model:random_forest,,,,0.9868243914581862,0.9751713662766276,0.9751713662766276,0.9559919723604763,0.9431565956291488,,0.9408550521910437
FS_Method:biMaxInfgain,0.9457927657951953,0.9997504493447851,0.9128014317649499,0.9789419944249297,,0.9816976400700419,0.9988504617550391,0.9999361838771537,0.9408550521910437,
