Part_Label,Model:sklearn_SVM,AugName:mixup,AugName:noAug,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Split_Ratio:0.1,Model:XGBmodel,Norm_Order:first
Model:sklearn_SVM,,0.9291842062466079,0.9557480886158134,,0.8395467888589114,0.7541372202539074,0.885682032921113,0.9923161263726581,,0.995889090615263
AugName:mixup,0.9291842062466079,,,0.8526733892762638,0.8970681167483614,0.797386622342412,0.9328448997268761,0.9349250593778937,0.9312337129672499,0.956062771470561
AugName:noAug,0.9557480886158134,,,0.9203987493265313,0.8185692525677883,0.6994020141072018,0.8702006897762841,0.9743064173156691,0.9716192152022788,0.9779072704595274
Model:LogisticRegression,,0.8526733892762638,0.9203987493265313,,0.6954367750178808,0.5918392311482917,0.7579980556735013,0.9823800983486056,,0.9644033917471491
ImblName:TomekLinks,0.8395467888589114,0.8970681167483614,0.8185692525677883,0.6954367750178808,,,0.9951368903293918,0.7925703284330332,0.7894592075938105,0.8474722644162754
ImblName:noImbl,0.7541372202539074,0.797386622342412,0.6994020141072018,0.5918392311482917,,,0.9604994834750876,0.6870006941619808,0.6843036208900669,0.7523688364013027
Prob_Threshold:0.5,0.885682032921113,0.9328448997268761,0.8702006897762841,0.7579980556735013,0.9951368903293918,0.9604994834750876,,0.847550058777983,0.8445444483613299,0.8946693852248041
Split_Ratio:0.1,0.9923161263726581,0.9349250593778937,0.9743064173156691,0.9823800983486056,0.7925703284330332,0.6870006941619808,0.847550058777983,,0.9997917150686392,0.9953389918402997
Model:XGBmodel,,0.9312337129672499,0.9716192152022788,,0.7894592075938105,0.6843036208900669,0.8445444483613299,0.9997917150686392,,0.9945088812561587
Norm_Order:first,0.995889090615263,0.956062771470561,0.9779072704595274,0.9644033917471491,0.8474722644162754,0.7523688364013027,0.8946693852248041,0.9953389918402997,0.9945088812561587,
