Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,Norm_Order:first,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,Model:GradientBoosting,Scaler:minmax,Scaler:standard,Model:random_forest,Norm_Order:last,Split_Ratio:0.2,ImblName:RandomUnderSampler,ImblName:SMOTE,Prob_Threshold:0.35,ImblName:ADASYN
AugName:gaussian_noise,,0.5291243198766575,0.7386392660602179,0.6578722465574685,0.7915611717488669,,,0.9788294282228834,0.9901050707532607,0.9730665691036958,0.9606583083697814,0.9708873273854796,0.9705604203783931,0.9739015095200922,0.9693236773421483,0.9739505533478063,0.9671415778339161,0.9744570176635882,0.9698416424748351,0.9723757228801028,0.9739505533478063,0.9764373031740505,0.9569115463546735,0.979549408446558,0.9743024017206644,0.9790137783113998,0.9697123803878073,0.9617368247460978,0.965192716952495,0.9731245189295252,0.9750390329907243
Model:DTmodel,0.5291243198766575,,0.9406180205689565,0.9118702340564349,0.9273942960739711,0.861974443767779,0.7529350924525914,,,,0.7182559215046851,0.6532407892418579,0.6763372108000992,0.6678337877377623,0.6954257547552393,0.6846273738846935,0.6963860022497538,0.647614181411086,0.6930030415153406,0.6832809407583945,0.6846273738846935,,0.7344084171819655,0.6314538380169388,,0.6456596764194326,0.7063102185013465,0.5397455280197258,0.5801757267366497,0.5162445722433773,0.5065905343012966
ImblName:TomekLinks,0.7386392660602179,0.9406180205689565,,,0.9951368903293918,0.8970681167483622,0.8185692525677895,0.839546788858913,0.6954367750178808,0.7894592075938105,0.8474722644162754,0.7925703284330332,0.8154831689775082,0.8111774938322036,0.8339662481342383,0.8296472993112886,0.83171281699712,0.7916981858149262,0.8322843252014378,0.8256221445676523,0.8296472993112886,0.7806198449594909,0.8614561338589578,0.783071557795122,0.7790114076449172,0.7960915781384531,0.8481597793735269,,,0.6779467930203753,
ImblName:noImbl,0.6578722465574685,0.9118702340564349,,,0.9604994834750876,0.7973866223424101,0.6994020141072007,0.7541372202539067,0.5918392311482898,0.6843036208900669,0.7523688364013027,0.6870006941619808,0.715317898154385,0.7117260852696018,0.7389038383627707,0.7358227293648348,0.7347167358820395,0.6877921542264568,0.736823727071767,0.729459139977311,0.7358227293648348,0.6754768038390908,0.7697896792552565,0.6803249077960055,0.6724946148259251,0.6959229749971928,0.7584686573555922,,,0.5599173847254845,
Prob_Threshold:0.5,0.7915611717488669,0.9273942960739711,0.9951368903293918,0.9604994834750876,,0.9328448997268778,0.8702006897762857,0.885682032921115,0.7579980556735012,0.8445444483613299,0.8946693852248041,0.847550058777983,0.8671372517844673,0.8631789970961155,0.8827723838205761,0.8786129646783778,0.8811225676202459,0.8464716123094483,0.8813018620737338,0.8754556385634463,0.8786129646783778,0.8365805872202868,0.9063297857659279,0.8384454122837364,0.8352442424093927,0.8497267493750098,0.894267923614177,0.7518475993206191,0.784833777941888,,0.7398859790944969
AugName:mixup,,0.861974443767779,0.8970681167483622,0.7973866223424101,0.9328448997268778,,,0.929184206246608,0.8526733892762638,0.9312337129672499,0.956062771470561,0.9349250593778937,0.9415351071630842,0.9366819321482068,0.9455206809978577,0.9392616893133685,0.9478648496393157,0.9306837965416448,0.9448939022012327,0.9410244616570587,0.9392616893133685,0.9242255509015979,0.9596658890275427,0.9213227925400609,0.9255801534588576,0.9262170108908575,0.9450575428363941,0.8862911726749995,0.9066326410830795,0.8692188916050968,0.8627197850129276
AugName:noAug,,0.7529350924525914,0.8185692525677895,0.6994020141072007,0.8702006897762857,,,0.9557480886158134,0.9203987493265313,0.9716192152022788,0.9779072704595274,0.9743064173156691,0.9742449033254927,0.9711323986012343,0.9727163820557376,0.9682421330638921,0.9754463715756422,0.9708056205054075,0.9725875793751474,0.9709773543569912,0.9682421330638921,0.967593921008462,0.9766356881328615,0.964542716822407,0.9689327023343199,0.9656637761433542,0.9678715885603222,0.9534501628232542,0.9646252614381462,0.9395331878376532,0.9344701758770839
Model:sklearn_SVM,0.9788294282228834,,0.839546788858913,0.7541372202539067,0.885682032921115,0.929184206246608,0.9557480886158134,,,,0.995889090615263,0.9923161263726581,0.9956627173537856,0.9962247998008628,0.9977139334402544,0.9983981611630909,0.9967873124761095,0.9933739818854324,0.9975550350334493,0.9974696143811287,0.9983981611630909,,0.995446656540682,0.9933838923532549,,0.9954230659140504,0.9987178081185635,0.9639586584113928,0.9747344152520043,0.9658094841298253,0.9646440465769826
Model:LogisticRegression,0.9901050707532607,,0.6954367750178808,0.5918392311482898,0.7579980556735012,0.8526733892762638,0.9203987493265313,,,,0.9644033917471491,0.9823800983486056,0.9775349994177022,0.9802089403530833,0.9726853529869058,0.9756909622409746,0.9722112239622874,0.9843579140881894,0.9732318174220619,0.975989172598264,0.9756909622409746,,0.958113618001378,0.9882244882481759,,0.9856059934535345,0.968488601021807,0.989178599268026,0.988345701635473,0.9951382548539731,0.995921562909742
Model:XGBmodel,0.9730665691036958,,0.7894592075938105,0.6843036208900669,0.8445444483613299,0.9312337129672499,0.9716192152022788,,,,0.9945088812561587,0.9997917150686388,0.9989517157985922,0.9990852522306594,0.9965472092270974,0.9969762884907489,0.9969320558369764,0.999834619436584,0.9970047158796658,0.9978304660213285,0.9969762884907489,,0.9914269086386575,0.9994247255334668,,0.9993244094580678,0.9938808035586321,0.9869902687748214,0.9939145023740558,0.985962481553284,0.9845629952405263
Norm_Order:first,0.9606583083697814,0.7182559215046851,0.8474722644162754,0.7523688364013027,0.8946693852248041,0.956062771470561,0.9779072704595274,0.995889090615263,0.9644033917471491,0.9945088812561587,,0.9953389918403001,0.9981902196229334,0.997533512000386,0.9993886569271058,0.9985825674141133,0.9994938323300546,0.9950339921182793,0.9993077937994224,0.9987093480902836,0.9985825674141133,0.9928180157558885,0.9996310734330984,0.9930051202310483,0.9923209551595068,,0.999048992535784,0.9669842709205222,0.9787408667329979,0.964164298553781,0.9618285221280362
Split_Ratio:0.1,0.9708873273854796,0.6532407892418579,0.7925703284330332,0.6870006941619808,0.847550058777983,0.9349250593778937,0.9743064173156691,0.9923161263726581,0.9823800983486056,0.9997917150686388,0.9953389918403001,,0.9991944871689693,0.9992417123528734,0.9971359902035811,0.9971612929640052,0.9976142496268844,0.9998790373804828,0.9974200945111938,0.9980173506012308,0.9971612929640052,0.9994774780295598,0.9923807902346329,0.9992026050155894,0.9992765430144416,0.9991936717644776,,0.9868190346357256,0.9937806128510324,0.9850639604180949,0.9834001320719693
