Part_Label,AugName:noAug,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard,Split_Ratio:0.2,FS_Method:noSelect,FeatureNum:8.0,Prob_Threshold:0.35,FS_Method:biMaxInfgain,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Model:random_forest,Prob_Threshold:0.5,Model:LogisticRegression,Model:sklearn_SVM,Model:DTmodel
AugName:noAug,,0.9974412488664844,0.9973971012724203,0.9994914453440058,0.9971779804175184,1.0,0.9999999559769209,0.9999999559901008,0.9995041375263499,0.9995017419476412,1.0,0.9935749793439543,0.9935749793439543,0.9462261127790697,0.9985161428465864,0.9994928041377577,0.998182059565366,0.9939555045021883,0.9556551887664587,0.9627842803072959,0.9856805094789376,0.9491573549388828,0.9915517737449953
FS_Method:infgain,0.9974412488664844,,0.999989720798863,0.998332864128143,0.9894724358452008,0.9974412488664839,0.9974334688410371,0.9974489399260367,0.9968539969447389,0.9970371474661655,0.9974412488664839,,0.9842361717718909,0.9206898549942547,,0.9986124562511312,0.9931548863620275,0.9839437595380651,0.9326235675841673,0.9796321176814241,0.9935533709772338,0.969148721541611,0.9824399333133164
FeatureNum:4.0,0.9973971012724203,0.999989720798863,,,,0.9973971012724188,0.9973881916618281,0.9974059217518912,0.9966820226074694,0.9971211788814908,0.9973971012724188,0.9838913330028648,,0.9204678095006753,0.9922267754714102,,0.993295271422895,0.9839944431858875,0.932266067103539,0.9797402200651019,0.9932481627605572,0.9691568035278427,0.9826165536375073
FeatureNum:5.0,0.9994914453440058,0.998332864128143,,,,0.9994914453440062,0.9994823686482766,0.9995004326992465,0.9981878167718365,0.9998034079406858,0.9994914453440062,0.9897014787781508,,0.9391653224552126,0.9973696352585576,,0.9982229163436448,0.9922219808299584,0.9480334919250853,0.9677915220322816,0.9858802935668579,0.9541216378435529,0.9914707526467639
FeatureNum:7.0,0.9971779804175184,0.9894724358452008,,,,0.9971779804175183,0.9971915079532673,0.9971643671289954,0.9974320096014634,0.9959308307292214,0.9971779804175183,0.9988911793410409,,0.967072240689016,0.9991392798770347,,0.996832892042749,0.9979946105431934,0.974949801622619,0.9404206613970032,0.9742038580944486,0.9244415318783247,0.9935606655024096
ImblName:noImbl,1.0,0.9974412488664839,0.9973971012724188,0.9994914453440062,0.9971779804175183,,0.9999999559769209,0.9999999559901008,0.9995041375263499,0.9995017419476412,1.0,0.9935749793439543,0.9935749793439543,0.9462261127790697,0.9985161428465864,0.9994928041377577,0.998182059565366,0.9939555045021883,0.9556551887664587,0.9627842803072959,0.9856805094789376,0.9491573549388828,0.9915517737449953
Norm_Order:first,0.9999999559769209,0.9974334688410371,0.9973881916618281,0.9994823686482766,0.9971915079532673,0.9999999559769209,,,0.9995129009109434,0.9994928693167383,0.9999999559769202,0.9936020277656384,0.9936020277656384,0.9462637323471063,0.9985174847531014,0.9994843348625994,0.9981721732673429,0.9939576137827525,0.9557022686732779,0.9627527740944082,0.9856883014939353,0.9491308780831884,0.9915380433010584
Norm_Order:last,0.9999999559901008,0.9974489399260367,0.9974059217518912,0.9995004326992465,0.9971643671289954,0.9999999559901008,,,0.9994952874709802,0.9995105252676979,0.999999955990101,0.9935478475108608,0.9935478475108608,0.9461884155501752,0.9985147132451984,0.9995011841632427,0.9981918565169541,0.9939533080430906,0.9556080317850777,0.9628156970529799,0.9856726318645836,0.9491837442798449,0.9915654148506318
Scaler:minmax,0.9995041375263499,0.9968539969447389,0.9966820226074694,0.9981878167718365,0.9974320096014634,0.9995041375263499,0.9995129009109434,0.9994952874709802,,,0.9995041375263506,0.9951329952237306,0.9951329952237306,0.9464708057568989,0.9975999279678205,0.9982913272105792,0.9961792897226492,0.9925448673505682,0.9573312109370683,0.9617104560512776,0.9876809423058729,0.949126074189215,0.9885511751823367
Scaler:standard,0.9995017419476412,0.9970371474661655,0.9971211788814908,0.9998034079406858,0.9959308307292214,0.9995017419476412,0.9994928693167383,0.9995105252676979,,,0.9995017419476417,0.9910242837966514,0.9910242837966514,0.9450390350547063,0.9984407280208041,0.9997023673414556,0.9991961530543556,0.994380243802756,0.9530239444865164,0.9629024195365433,0.9826941873464116,0.9482439990923944,0.9935727020067585
Split_Ratio:0.2,1.0,0.9974412488664839,0.9973971012724188,0.9994914453440062,0.9971779804175183,1.0,0.9999999559769202,0.999999955990101,0.9995041375263506,0.9995017419476417,,0.9935749793439543,0.9935749793439543,0.9462261127790697,0.9985161428465864,0.9994928041377577,0.998182059565366,0.9939555045021883,0.9556551887664587,0.9627842803072959,0.9856805094789376,0.9491573549388828,0.9915517737449953
FS_Method:noSelect,0.9935749793439543,,0.9838913330028648,0.9897014787781508,0.9988911793410409,0.9935749793439543,0.9936020277656384,0.9935478475108608,0.9951329952237306,0.9910242837966514,0.9935749793439543,,1.0,0.9714374328673032,,0.9895184622400947,0.9920313508559341,0.9954320748755429,0.9802474801641129,0.9304566376010371,0.9707096712761131,0.9148699418887889,0.9889613213769637
