Part_Label,AugName:noAug,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard,Split_Ratio:0.2,FS_Method:noSelect,FeatureNum:8.0,Prob_Threshold:0.35,FS_Method:biMaxInfgain,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Model:random_forest,Prob_Threshold:0.5,Model:LogisticRegression,Model:sklearn_SVM,Model:DTmodel
FeatureNum:8.0,0.9935749793439543,0.9842361717718909,,,,0.9935749793439543,0.9936020277656384,0.9935478475108608,0.9951329952237306,0.9910242837966514,0.9935749793439543,1.0,,0.9714374328673032,0.9961054838407091,,0.9920313508559341,0.9954320748755429,0.9802474801641129,0.9304566376010371,0.9707096712761131,0.9148699418887889,0.9889613213769637
Prob_Threshold:0.35,0.9462261127790697,0.9206898549942547,0.9204678095006753,0.9391653224552126,0.967072240689016,0.9462261127790697,0.9462637323471063,0.9461884155501752,0.9464708057568989,0.9450390350547063,0.9462261127790697,0.9714374328673032,0.9714374328673032,,0.9615542667430383,0.9379686981818026,0.9552314126149556,0.9739922723354008,0.9980271036023661,,0.8864971872018924,0.7969988640002773,0.966992808135786
FS_Method:biMaxInfgain,0.9985161428465864,,0.9922267754714102,0.9973696352585576,0.9991392798770347,0.9985161428465864,0.9985174847531014,0.9985147132451984,0.9975999279678205,0.9984407280208041,0.9985161428465864,,0.9961054838407091,0.9615542667430383,,0.9971208320187789,0.9992733311436495,0.9984565845184905,0.9684124992104796,0.9473768213438907,0.9753155660770109,0.9309719663803949,0.9961378248167615
FeatureNum:6.0,0.9994928041377577,0.9986124562511312,,,,0.9994928041377577,0.9994843348625994,0.9995011841632427,0.9982913272105792,0.9997023673414556,0.9994928041377577,0.9895184622400947,,0.9379686981818026,0.9971208320187789,,0.9979248530890718,0.9917266513921158,0.9472447776657982,0.9687936164919781,0.9867759888229899,0.9554646108800746,0.990621909424036
Model:GradientBoosting,0.998182059565366,0.9931548863620275,0.993295271422895,0.9982229163436448,0.996832892042749,0.998182059565366,0.9981721732673429,0.9981918565169541,0.9961792897226492,0.9991961530543556,0.998182059565366,0.9920313508559341,0.9920313508559341,0.9552314126149556,0.9992733311436495,0.9979248530890718,,,,0.9520734601559693,,,
Model:XGBmodel,0.9939555045021883,0.9839437595380651,0.9839944431858875,0.9922219808299584,0.9979946105431934,0.9939555045021883,0.9939576137827525,0.9939533080430906,0.9925448673505682,0.994380243802756,0.9939555045021883,0.9954320748755429,0.9954320748755429,0.9739922723354008,0.9984565845184905,0.9917266513921158,,,,0.9289893891701198,,,
Model:random_forest,0.9556551887664587,0.9326235675841673,0.932266067103539,0.9480334919250853,0.974949801622619,0.9556551887664587,0.9557022686732779,0.9556080317850777,0.9573312109370683,0.9530239444865164,0.9556551887664587,0.9802474801641129,0.9802474801641129,0.9980271036023661,0.9684124992104796,0.9472447776657982,,,,0.84175759163261,,,
Prob_Threshold:0.5,0.9627842803072959,0.9796321176814241,0.9797402200651019,0.9677915220322816,0.9404206613970032,0.9627842803072959,0.9627527740944082,0.9628156970529799,0.9617104560512776,0.9629024195365433,0.9627842803072959,0.9304566376010371,0.9304566376010371,,0.9473768213438907,0.9687936164919781,0.9520734601559693,0.9289893891701198,0.84175759163261,,0.9875780253447444,0.9983126760751159,0.9306225787672634
Model:LogisticRegression,0.9856805094789376,0.9935533709772338,0.9932481627605572,0.9858802935668579,0.9742038580944486,0.9856805094789376,0.9856883014939353,0.9856726318645836,0.9876809423058729,0.9826941873464116,0.9856805094789376,0.9707096712761131,0.9707096712761131,0.8864971872018924,0.9753155660770109,0.9867759888229899,,,,0.9875780253447444,,,
Model:sklearn_SVM,0.9491573549388828,0.969148721541611,0.9691568035278427,0.9541216378435529,0.9244415318783247,0.9491573549388828,0.9491308780831884,0.9491837442798449,0.949126074189215,0.9482439990923944,0.9491573549388828,0.9148699418887889,0.9148699418887889,0.7969988640002773,0.9309719663803949,0.9554646108800746,,,,0.9983126760751159,,,
Model:DTmodel,0.9915517737449953,0.9824399333133164,0.9826165536375073,0.9914707526467639,0.9935606655024096,0.9915517737449953,0.9915380433010584,0.9915654148506318,0.9885511751823367,0.9935727020067585,0.9915517737449953,0.9889613213769637,0.9889613213769637,0.966992808135786,0.9961378248167615,0.990621909424036,,,,0.9306225787672634,,,
