Part_Label,Model:sklearn_SVM,Model:LogisticRegression,Model:XGBmodel,Model:GradientBoosting,Prob_Threshold:0.5,Model:random_forest,FeatureNum:6.0,FS_Method:biMaxInfgain,FeatureNum:5.0,Scaler:standard
Model:sklearn_SVM,,,,,0.9983126760751195,,0.9554646108800744,0.9309719663803955,0.9541216378435534,0.9482439990923952
Model:LogisticRegression,,,,,0.9875780253447446,,0.9867759888229873,0.9753155660770089,0.9858802935668556,0.9826941873464092
Model:XGBmodel,,,,,0.9289893891701198,,0.9917266513921166,0.9984565845184914,0.9922219808299596,0.9943802438027567
Model:GradientBoosting,,,,,0.9520734601559693,,0.9979248530890691,0.9992733311436471,0.9982229163436428,0.9991961530543532
Prob_Threshold:0.5,0.9983126760751195,0.9875780253447446,0.9289893891701198,0.9520734601559693,,0.8417575916326071,0.9687936164919749,0.9473768213438881,0.9677915220322789,0.9629024195365411
Model:random_forest,,,,,0.8417575916326071,,0.9472447776657994,0.9684124992104809,0.9480334919250867,0.9530239444865168
FeatureNum:6.0,0.9554646108800744,0.9867759888229873,0.9917266513921166,0.9979248530890691,0.9687936164919749,0.9472447776657994,,0.9971208320187791,,0.9997023673414558
FS_Method:biMaxInfgain,0.9309719663803955,0.9753155660770089,0.9984565845184914,0.9992733311436471,0.9473768213438881,0.9684124992104809,0.9971208320187791,,0.9973696352585578,0.998440728020804
FeatureNum:5.0,0.9541216378435534,0.9858802935668556,0.9922219808299596,0.9982229163436428,0.9677915220322789,0.9480334919250867,,0.9973696352585578,,0.9998034079406858
Scaler:standard,0.9482439990923952,0.9826941873464092,0.9943802438027567,0.9991961530543532,0.9629024195365411,0.9530239444865168,0.9997023673414558,0.998440728020804,0.9998034079406858,
