Metric,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Split_Ratio:0.1,Model:random_forest,FeatureNum:4.0,Model:GradientBoosting,FeatureNum:5.0,Scaler:standard,FS_Method:biMaxInfgain
Accuracy,0.7705627705627706,0.7560726310726311,0.7523448773448774,0.7454705788039121,0.744107744107744,0.745806277056277,0.7442279942279941,0.7437545093795094,0.744378306878307,0.7413194444444444
Macro_F1,0.7376068265948775,0.7145192241131064,0.7192552126610531,0.7130793816334268,0.7145016888492818,0.711907533087657,0.7136311324492195,0.7129218228681318,0.7119497912185422,0.7099159863432334
Macro_Precision,0.7553446593509053,0.7396819938415224,0.7303330863835926,0.7244346258297472,0.7216439061342965,0.7259175661043208,0.7209853075630862,0.7218493754348623,0.7225981234543009,0.7192620042281141
Macro_Recall,0.7315620713305898,0.7057733196159122,0.714852537722908,0.7096776406035665,0.7120987654320987,0.7072395833333334,0.7106532921810699,0.7095936213991769,0.7078440786465477,0.7067351466049383
Weighted_F1,0.7650375410530719,0.7469359082581186,0.7478379332436016,0.741480486301066,0.7416747319196368,0.7410677722761436,0.7413740468178651,0.7407528324345433,0.7405511783251701,0.7380967420494282
Weighted_Precision,0.7691964120859193,0.7512406366790668,0.7488499713535828,0.7441207980507824,0.7432152460902341,0.744035672076214,0.7421880389763823,0.7424129615163283,0.742149607889224,0.7400259295454699
