Cluster,Part
7,AugName:noAug
7,FS_Method:infgain
7,FeatureNum:6.0
7,FeatureNum:7.0
7,ImblName:noImbl
7,Norm_Order:first
7,Norm_Order:last
7,Prob_Threshold:0.5
8,FS_Method:biMaxInfgain
8,Model:GradientBoosting
8,Scaler:minmax
5,FS_Method:noSelect
5,FeatureNum:5.0
5,FeatureNum:8.0
5,Model:random_forest
5,Scaler:standard
6,FeatureNum:4.0
6,Split_Ratio:0.2
6,Split_Ratio:0.25
10,Model:DTmodel
1,Model:LogisticRegression
3,Model:XGBmodel
3,Split_Ratio:0.15
4,Model:sklearn_SVM
2,Split_Ratio:0.1
9,Split_Ratio:0.3
