Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8034,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.5,23
1,M_R,0.7889,log/pimaindians_diabetes_v2/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.1,0.35,23
1,M_F1,0.7787,log/pimaindians_diabetes_v2/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.1,0.35,23
1,m_P,0.8052,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,m_R,0.8052,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,m_F1,0.8052,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,W_P,0.8022,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,W_R,0.8052,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,W_F1,0.7999,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,Acc,0.8052,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
2,M_P,0.7955,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,M_R,0.7889,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
2,M_F1,0.7787,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
2,m_P,0.8052,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,m_R,0.8052,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,m_F1,0.8052,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,W_P,0.8022,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,W_R,0.8052,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,W_F1,0.7999,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,Acc,0.8052,log/pimaindians_diabetes_v2/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
3,M_P,0.7955,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
3,M_R,0.7674,log/pimaindians_diabetes_v2/5/infgain/noAug__noImbl__standard/GradientBoosting,0.1,0.35,23
3,M_F1,0.7755,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
3,m_P,0.7922,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
3,m_R,0.7922,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
3,m_F1,0.7922,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
3,W_P,0.8022,log/pimaindians_diabetes_v2/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.1,0.35,23
3,W_R,0.7922,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
3,W_F1,0.7950,log/pimaindians_diabetes_v2/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.1,0.35,23
3,Acc,0.7922,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.35,23
4,M_P,0.7803,log/pimaindians_diabetes_v2/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.2,0.5,23
