,biMaxInfgain,biMeanInfgain,infgain,noSelect
biMaxInfgain,0.0,0.025212874576908035,0.03938824353085423,0.04051861851551569
biMeanInfgain,0.025212874576908035,0.0,0.039229961654641134,0.04106157815714316
infgain,0.03938824353085423,0.039229961654641134,0.0,0.04581078728646615
noSelect,0.04051861851551569,0.04106157815714316,0.04581078728646615,0.0
