,ADASYN,RandomUnderSampler,SMOTE,TomekLinks,noImbl
ADASYN,0.0,0.04345998159538389,0.03831674679519382,0.06478341697343537,0.06717389257441904
RandomUnderSampler,0.04345998159538389,0.0,0.03950621702932932,0.056746719935608037,0.059483385530543664
SMOTE,0.03831674679519382,0.03950621702932932,0.0,0.05482498795251952,0.057141397854708384
TomekLinks,0.06478341697343537,0.056746719935608037,0.05482498795251952,0.0,0.032538453442933706
noImbl,0.06717389257441904,0.059483385530543664,0.057141397854708384,0.032538453442933706,0.0
