,FeatureNum:4,FeatureNum:5,FeatureNum:6,FeatureNum:7,FeatureNum:8,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,Scaler:minmax,Scaler:standard,AugName:gaussian_noise,AugName:mixup,AugName:noAug,ImblName:ADASYN,ImblName:RandomUnderSampler,ImblName:SMOTE,ImblName:TomekLinks,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.35,Prob_Threshold:0.5,Split_Ratio:0.1,Split_Ratio:0.2
FeatureNum:4,0.0,0.038064367371109166,0.0396985793028133,0.041431859262129146,0.04051861851551569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:5,0.038064367371109166,0.0,0.034204382649515044,0.036414350202129596,0.03883393669924944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:6,0.0396985793028133,0.034204382649515044,0.0,0.03445690372080532,0.037332566247972175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:7,0.041431859262129146,0.036414350202129596,0.03445690372080532,0.0,0.03549146961544325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeatureNum:8,0.04051861851551569,0.03883393669924944,0.037332566247972175,0.03549146961544325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:biMaxInfgain,0.0,0.0,0.0,0.0,0.0,0.0,0.025212874576908035,0.03938824353085423,0.04051861851551569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:biMeanInfgain,0.0,0.0,0.0,0.0,0.0,0.025212874576908035,0.0,0.039229961654641134,0.04106157815714316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:infgain,0.0,0.0,0.0,0.0,0.0,0.03938824353085423,0.039229961654641134,0.0,0.04581078728646615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FS_Method:noSelect,0.0,0.0,0.0,0.0,0.0,0.04051861851551569,0.04106157815714316,0.04581078728646615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaler:minmax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043797526408103055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaler:standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043797526408103055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AugName:gaussian_noise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044655802858992,0.10280890638134417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AugName:mixup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1044655802858992,0.0,0.027905203448094395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AugName:noAug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280890638134417,0.027905203448094395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:ADASYN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04345998159538389,0.03831674679519382,0.06478341697343537,0.06717389257441904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:RandomUnderSampler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04345998159538389,0.0,0.03950621702932932,0.056746719935608037,0.059483385530543664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:SMOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03831674679519382,0.03950621702932932,0.0,0.05482498795251952,0.057141397854708384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:TomekLinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06478341697343537,0.056746719935608037,0.05482498795251952,0.0,0.032538453442933706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImblName:noImbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06717389257441904,0.059483385530543664,0.057141397854708384,0.032538453442933706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model:DTmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07989728961180292,0.09702784190690457,0.07915444565546058,0.07362942643104095,0.09923533970917454,0.0,0.0,0.0,0.0,0.0,0.0
Model:GradientBoosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07989728961180292,0.0,0.05097538355420509,0.0319024570726666,0.042172864261412736,0.051010433304507136,0.0,0.0,0.0,0.0,0.0,0.0
Model:LogisticRegression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09702784190690457,0.05097538355420509,0.0,0.05225358955561948,0.058074594853533064,0.03842623448523623,0.0,0.0,0.0,0.0,0.0,0.0
Model:XGBmodel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07915444565546058,0.0319024570726666,0.05225358955561948,0.0,0.04185593008942879,0.051376040968959494,0.0,0.0,0.0,0.0,0.0,0.0
Model:random_forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07362942643104095,0.042172864261412736,0.058074594853533064,0.04185593008942879,0.0,0.059558348285486694,0.0,0.0,0.0,0.0,0.0,0.0
Model:sklearn_SVM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09923533970917454,0.051010433304507136,0.03842623448523623,0.051376040968959494,0.059558348285486694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norm_Order:first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03485853676429543,0.0,0.0,0.0,0.0
Norm_Order:last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03485853676429543,0.0,0.0,0.0,0.0,0.0
Prob_Threshold:0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05658152470406372,0.0,0.0
Prob_Threshold:0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05658152470406372,0.0,0.0,0.0
Split_Ratio:0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04723054649464537
Split_Ratio:0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04723054649464537,0.0
