Metric,Random_State:7.0,Split_Ratio:0.1,Random_State:42.0,Model:random_forest,Scaler:standard,ImblName:ADASYN,FeatureNum:5.0,Model:XGBmodel,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain
Accuracy,0.6857597263847264,0.6810675435675435,0.6862314768564769,0.6637168387168387,0.6789638602138602,0.648198445073445,0.6765968213884881,0.6778409090909091,0.6755828373015873,0.6753866792929293
Macro_F1,0.6684747943820111,0.6642830190282037,0.6687968497744455,0.6473349732624899,0.6600663071485148,0.6360104594863611,0.6597536484305228,0.6610314540839677,0.6581955251542129,0.6580615872223448
Macro_Precision,0.699195462724082,0.6938548968513919,0.6972556213661674,0.6842245298497122,0.6898598361418854,0.680203189942993,0.6880553907774759,0.6906332670548897,0.6866933571685205,0.6871484539888347
Macro_Recall,0.6971992521367522,0.6944171151208187,0.6989645061728396,0.6848711419753086,0.6889043341774823,0.6809504095441595,0.6893027834933699,0.6928907882241215,0.6877392618312757,0.6878070987654321
Weighted_F1,0.6824936098696793,0.6783477943357906,0.6834333222433927,0.6581287172164452,0.6752234682671912,0.6426265140626876,0.6741553789922236,0.6741013024785412,0.6728175221992042,0.6725882050319579
Weighted_Precision,0.7393711749034471,0.7358281975949316,0.7396155314950801,0.7287710658812832,0.7307277137998416,0.7296379506586873,0.7300972483847726,0.7325017965720411,0.7285903352394048,0.7292473755865024
