Metric,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Model:random_forest,FS_Method:noSelect,FeatureNum:8.0,Model:GradientBoosting,Scaler:standard,FeatureNum:5.0,FeatureNum:6.0
Accuracy,0.7623857623857624,0.7485569985569986,0.7528860028860029,0.7417027417027418,0.7371031746031745,0.7371031746031745,0.7378547378547379,0.7352292768959436,0.7355248917748918,0.735930735930736
Macro_F1,0.7263173989369308,0.7156300470603255,0.7100691775347434,0.7116214551838886,0.7053519160841523,0.7053519160841523,0.7057479406594754,0.7032692554164138,0.7029119215440285,0.701596435886025
Macro_Precision,0.7454377547373368,0.726844913694102,0.7368715971416924,0.7181851675957548,0.7168613145332796,0.7168613145332796,0.7134347384377997,0.7125228974934098,0.712563659014076,0.7139744256885987
Macro_Recall,0.7183641975308641,0.7110288065843621,0.700835048010974,0.7091426611796983,0.701795267489712,0.701795267489712,0.7024725651577504,0.6996227709190672,0.6988940329218107,0.6975205761316873
Weighted_F1,0.7558564766040123,0.7443304783557488,0.7432514044771007,0.7392403930447945,0.7338083322009245,0.7338083322009245,0.7345997163272665,0.7320940960474605,0.7320819344026026,0.7314925887743864
Weighted_Precision,0.7585172751067789,0.7455517869530255,0.7479817995284029,0.7401636726474884,0.7371050076761119,0.7371050076761119,0.7350139662650812,0.7336160551375416,0.7333157831258224,0.7338880000960395
