Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8201,log/pimaindians_diabetes_v6/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.15,0.5,23
1,M_R,0.7648,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,M_F1,0.7755,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,m_P,0.8052,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,m_R,0.8052,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,m_F1,0.8052,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,W_P,0.8066,log/pimaindians_diabetes_v6/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.15,0.5,23
1,W_R,0.8052,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,W_F1,0.7999,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
1,Acc,0.8052,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,23
2,M_P,0.8201,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.15,0.5,23
2,M_R,0.7648,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,M_F1,0.7755,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,m_P,0.8052,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,m_R,0.8052,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,m_F1,0.8052,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,W_P,0.8066,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.15,0.5,23
2,W_R,0.8052,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,W_F1,0.7999,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
2,Acc,0.8052,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
3,M_P,0.8034,log/pimaindians_diabetes_v6/4/infgain/noAug__noImbl__minmax/sklearn_SVM,0.1,0.5,23
3,M_R,0.7633,log/pimaindians_diabetes_v6/8/noSelect/minmax__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,M_F1,0.7642,log/pimaindians_diabetes_v6/8/noSelect/minmax__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,m_P,0.7969,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,m_R,0.7969,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,m_F1,0.7969,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,W_P,0.8022,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,23
3,W_R,0.7969,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,W_F1,0.7898,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
3,Acc,0.7969,log/pimaindians_diabetes_v6/4/infgain/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
4,M_P,0.8034,log/pimaindians_diabetes_v6/4/infgain/minmax__noAug__noImbl/sklearn_SVM,0.1,0.5,23
4,M_R,0.7633,log/pimaindians_diabetes_v6/7/infgain/minmax__noAug__noImbl/LogisticRegression,0.25,0.5,23
4,M_F1,0.7642,log/pimaindians_diabetes_v6/7/infgain/minmax__noAug__noImbl/LogisticRegression,0.25,0.5,23
4,m_P,0.7969,log/pimaindians_diabetes_v6/8/noSelect/standard__noAug__noImbl/LogisticRegression,0.25,0.5,23
